sku	asin	price	quantity
KR-ECFC-AYJW	B07RZR31Y4	1000.00	0
L3-JOHG-TSHK	B08RNK42N5	640.00	0
L6-DHD4-RRKL	B07DGDYXZG	160.00	0
L7-7JQB-2O3M	B07G14Y6M1	120.00	0
L8-SHMA-EULL	B075M62K3R	600.00	0
LA-ZX6V-8WA9	B085TCD63D	250.00	0
LH-7M0X-IOLA	B07B24Y77D	250.00	
LI-JXGR-RENB	B075M6B2CB	220.00	0
LZ-YIJT-C207	B075M73W1C	175.00	0
Lotus_Mould_1pcs	B07P2RVKHS	195.00	0
M9-66O5-XRHQ	B075M7C9RX	490.00	0
MM-Z460-VLPE	B07B48D7QV	110.00	0
MN-GZ54-81LY	B07G2SY4BS	250.00	0
MP-TMF4-8V72	B0731D3Z9Y	1050.00	0
MU-5WCP-BQIZ	B07F6BX9LG	370.00	0
MY-NNJD-BMLA	B08664YP6S	190.00	0
Mermaid_handmade_mold	B08KFPRPL5	750.00	0
N6-M1LA-JDUR	B0822B3DVK	450.00	0
NH-AWOB-6Y2A	B08241TXDL	290.00	0
NM-HENU-MY3N	B00XXOR16G	379.00	0
NY-EOKS-6WH6	B075M957N1	160.00	0
O0-KMD1-KRY9	B07CCG4LGP	190.00	0
O1-5XS5-4YG2	B07S33HFYG	450.00	0
O2-FULH-HN22	B07NT4JNYS	190.00	0
O3-NAH6-OET2	B0823RYK6L	600.00	0
OB-ZPHQ-R7PE	B07HWYFQCM	240.00	0
OE-QW6C-O0SC	B07LB2RZFT	300.00	0
OV-18OU-5OYM	B07BQ1Q5K2	150.00	0
OV-J9DU-45RB	B01LYRW6O3	650.00	0
Open_rose_mould	B08KFPPHQ8	750.00	0
P0-VEX7-Q24F	B08F2N1TX3	759.00	0
P1-9YGP-TVYI	B08X4TGBY1	350.00	0
P2-NRCT-TBHU	B0B61MJW4C	1600.00	0
P3-N48F-FM5H	B077XZG41J	125.00	0
P4-W2NG-DEMQ	B082F6H157	900.00	0
P6-D8KO-7WH9	B0BB3BBPDG	500.00	0
PH-2SXS-3FJ3	B08XBTZJHC	990.00	0
PN-3IDP-CFCT	B082F25DRB	150.00	0
PP-NIN5-D0QE	B07NSV38WG	210.00	0
PT-TXXS-HURW	B06XMRQNZT	770.00	0
Q7-SB0E-T7OP	B075M487LJ	550.00	0
QD-J45D-SFHF	B075NDJ8SR	299.00	0
QE-KQ9X-YJJO	B0785QX5H9	150.00	0
QH-1N4G-ZQZA	B08SM8LWFF	405.00	0
QN-WCS2-BLEQ	B0822SJRL8	229.00	0
QP-N87M-73R7	B09X1VHKP7	180.00	0
QR-8OI7-0STW	B01MSCY7BN	230.00	0
QY-Z46U-3X5U	B07PWM6B94	230.00	0
R4-XUS3-8V4C	B07FRDKKQK	175.00	0
R8-IYZH-QJIU	B0BRD67R79	225.00	0
RI-L5US-LN4N	B08SHYPVRB	483.00	0
RR-67MF-GZ2N	B07VDWZQKH	1200.00	0
RX-RS0S-S09F	B08T15JWJW	250.00	0
RX-Z0FI-CN0S	B083ZWK1CZ	149.00	0
Rose_lotus_starMolds	B07P41375P	450.00	0
S1-O4MI-OXKF	B01CK3SUXI	200.00	0
S1-V2X6-TIZ1	B08WKJH6FK	199.00	0
S2-17HN-MKH4	B01EY60YM4	229.00	0
S7-5HLT-UI65	B07VCL221W	300.00	0
S9-IOIA-XPNU	B08SBSHS75	290.00	0
SF-ECWE-Y9VR	B08WKGP416	430.00	0
SJ-KR3V-I9U9	B07BVFWKTG	220.00	0
SL-1K2J-LPVA	B082K798NM	375.00	0
SN-2AJE-VUCI	B01N7XH18C	799.00	0
SX-06AM-LFVO	B077W6DB4Q	360.00	0
SnowFlakeMouldXL	B08HLBHVYS	235.00	0
T4-45Q8-82PY	B08MB18L9J	278.00	0
T8-NDEU-JKL1	B07S34FRWZ	400.00	0
TF-DUG3-DBKZ	B077WBCKG3	180.00	0
TH-HI3R-86EE	B084RQ7KDG	190.00	0
TZ-B7UR-CC10	B08SHXTYMS	199.00	0
TZ-K8XR-N1FR	B07LB32CJF	340.00	0
U0-ZSDN-BTVA	B011EEBPPY	180.00	0
U7-L316-HQYU	B01NAXY9PJ	799.00	0
UX-P5RM-BAKW	B08XM22LLC	799.00	0
V2-NVSZ-KCEQ	B07BNMHFZX	459.00	0
V3-RD2J-R5GB	B08BPFN9X9	180.00	0
V7-EUF2-9E35	B089QMZWYC	500.00	0
V8-NKMY-LQ65	B01DQL9BXG	2500.00	0
VL-D2DV-W676	B01N6JOVU7	150.00	0
VN-BSTT-10LI	B07G29N536	220.00	0
VQ-3K33-YPL7	B08SMK276R	549.00	0
VQ-BW16-DJEY	B06W2NJ73T	175.00	0
VV-UVC7-ROE4	B077W7Z3JV	650.00	0
VZ-SX3R-P3U9	B0BB77GP9B	500.00	0
W4-VI9W-E6NT	B0822TNY87	350.00	0
W9-SBK6-YBVM	B01MRB77A5	93.00	0
WB-QXSA-BDVN	B074CXCS2C	720.00	0
WD-09PT-ONKG	B08RP3S2TC	199.00	0
WG-WX8A-34G1	B01AO0RLF2	298.00	0
WM-DDLD-6B73	B07G2B5D7L	249.00	0
WO-0QJA-6Z0Z	B07BNKDZ7M	450.00	0
WQ-V8JO-L6IJ	B07SZ8KWH6	498.00	0
WS-57JL-666R	B075M78D7Y	899.00	0
WU-OOJ2-KTOS	B07GLQB6V9	325.00	0
X0-D7NB-TOP2	B083SNP8K3	149.00	0
XB-CU0K-NS7M	B01AO0LSGK	350.00	0
XI-B33B-KSV4	B083TG824C	175.00	0
YM-5CPZ-9JD0	B07VKMRQQ3	780.00	0
YO-8DN1-ZSHM	B075NB1B9R	350.00	0
YO-D0SD-349R	B07T9ZQP9W	449.00	0
YP-T2QP-W8KQ	B07G2QFPJP	240.00	0
YR-L5EO-MV12	B077Z5CRK7	200.00	0
YU-YVB7-Q5OF	B07G43GRWF	200.00	0
Z8-ZBOS-7VAB	B07B4CS78K	164.00	0
ZM-4V4H-72EM	B07GLTG4FS	750.00	0
ZO-9MRB-JWYQ	B08W5CPJFT	350.00	0
ZP-WI4K-SFVI	B08T1KXX4H	129.00	0
ZW-VL54-6GXO	B0BSRZ6MTT	149.00	0
he_125_Silicone mould candel	B08GG671HB	440.00	0
oCn10Lc	B07CBSZ567	150.00	0
oCn15Lc	B07C1W1KKD	145.00	0
oCn25Lc	B07CF79N6N	180.00	0
oCn50Lc	B07CBRNN43	120.00	0
oCn5Lc	B07C1RYQJC	110.00	0
oCx10Lc	B07C1D4GXZ	180.00	0
oCx15Cn15Cm15em15Smlsl75Pr38LcZ	B07C1S73QF	650.00	0
oCx15Cn15LcSmlZ	B07C1R679Q	260.00	0
oCx15Lc	B07C1D4H7N	150.00	0
oCx25Lc	B07C1QLKRB	107.00	0
oCx50Lc	B07C1QF2GH	120.00	0
oCx5Lc	B07CBTMS61	130.00	0
oPe10Lc	B07C1S74KP	175.00	0
oPx10Lc	B07C1RWVM1	165.00	0
oSilgogwt1	B07CR6MTJS	250.00	0
oSml	B07C1WGPVH	150.00	0
sunflower_face	B08KF5B6ZJ	465.00	0
tinkerbell_1	B07LC49HVS	400.00	0
