item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
ACG Silicone Mold Realistic Dog DIY Candle Resin Cement Clay Art soap Making	100% silicone mold, soft, washable, reusable, elastic moulds	0220Y36WR4R	CC_RealDoggy_mold	950	1	2021-02-21 03:21:19 IST		y	1			11				B08X31JM79						B08X31JM79			0	DEFAULT																					1300.0
AAJ Silicone Mold Pineapple Fruit Realistic Shape DIY Candle soap Making Cement Clay Art	100% silicone mold, soft, washable, reusable, elastic moulds	0221Y44QWB9	CC_pineapple_mold	950	1	2021-02-21 17:37:22 IST		y	1			11				B08X3LD5FF						B08X3LD5FF			0	DEFAULT																					1250.0
AAK Silicone Mold Love Teddy Bear Mould DIY Resin soap Making Candle Cement Art Decoration Craft	100% silicone mold, soft, washable, reusable, elastic mould	0221Y4OQFXE	CC_teddyBear_mould	650	2	2021-02-22 01:47:48 IST		y	1			11				B08X3WR7LK						B08X3WR7LK			0	DEFAULT																					850.0
ADV Paisley Silicone Mold, 4-Cavity Highly Detailed Fondant Mold, Chocolate Mold Cake Decorating, Gum Paste Mold, Pattern Resin Mold, Candy Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1229ZD0MCIV	CE-H9ZL-P83T	149	2	2022-12-29 18:37:30 IST		y	1			11				B0BRBGHB57						B0BRBGHB57			0	DEFAULT																					400.0
retail supplies Indosilico 3D Kittens Silicone Molds	indosilico 3D Kittens silicone molds lovely cat animal baking tools kitchen	0507V6UZXRF	CV-X7YO-EUH3	249	2	2019-05-07 11:06:45 IST		y	1			11				B07QN54DRQ						B07QN54DRQ			0	DEFAULT																					700.0
AMN Small Size Koi Fish Fondant Mold (2.5"x1.4")- MoldFun Carp Fish Sugar Craft Silicone Mold for Cake/Cupcake Decorating, Gum Paste, Polymer Clay	Small Size Koi Fish Fondant Mold (2.5"x1.4")- MoldFun Carp Fish Sugar Craft Silicone Mold for Cake/Cupcake Decorating, Gum Paste, Polymer Clay	0107YOJQCPD	CY-7U59-VTNW	270	4	2021-01-07 11:41:13 IST		y	1			11				B08SBW38B5						B08SBW38B5			0	DEFAULT																					500.0
AIZ HeartPairCandle Silicone Mould	HeartPairCandle Regular mould flexible and reusable mould	0111Y0F2AIG	CY-FZ9R-G3MQ	590	2	2021-01-11 15:11:25 IST		y	1			11				B08SM9QS27						B08SM9QS27			0	DEFAULT																					800.0
AMD Seashell Silicone Mould for DIY Resin, Clay, Fondant Cake and Craft	Seashell Silicone Mould for DIY Resin, Clay, Fondant Cake and Craft	0107YOL286C	D0-7H16-622P	290	3	2021-01-07 12:25:05 IST		y	1			11				B08SBJ71S4						B08SBJ71S4			0	DEFAULT																					500.0
Aja Birds Pair Candle Silicone Mould	Birds Pair Candle silicone mould reusable and flexible mould	0111Y0EMR7W	D5-3MJF-N35Q	590	1	2021-01-11 15:18:40 IST		y	1			11				B08SMBTK6Q						B08SMBTK6Q			0	DEFAULT																					800.0
RETAIL SUPPLIES ALV Khanda Silicon Mould Flexible and Reusable Mould	khanda silicon mould flexible and reusable mould OM, SWASTIK, SUBH LABH, KALASH. OMKAR,KHANDA	1202XOL9KHT	DJ-D33X-QL7B	250	2	2020-12-02 16:07:44 IST		y	1			11				B08PFSM7LQ						B08PFSM7LQ			0	DEFAULT																					800.0
ALH 3D Unicorn Silicone Mold Cupcake Topper Decoration Fondant Mold DIY Party Cake Decorating Tool Candy Chocolate Gumpaste Mould	Unicorn Head Flower Baking Silicone Mold Cake Decoration DIY Fondant 3D Silicone Mold Chocolate Mold	0205X8CM3SK	DT-1I1W-G4KJ	245	3	2020-02-05 10:59:48 IST		y	1			11				B084H95XSY						B084H95XSY			0	DEFAULT																					400.0
AQF Valentine Angel Rose 3D Silicone Mold Soap Mold Candle,Cement,rasine, Making,	(noon food grade) silicon mold Angel Rose 3d Silicone Mold Soap Mold Candle Making soap,candel,resine,cement,etc	0801V7EZ6S7	DX-M2LT-TICH	496	1	2019-08-01 17:08:19 IST		y	1			11				B07VWRG23L						B07VWRG23L			0	DEFAULT																					1500.0
