item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	optional-payment-type-exclusion	status	maximum-retail-price
AGJ Girl Head Portrait Fondant Mold Silicone for Cake Mirror Frame Head Chocolate Molds DIY Aroma Plaster Mold Silicone	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0102AKID8KK	54-BZFC-FOD7	499	2	2023-01-02 18:10:32 IST		y	1			11				B0BRJLH4GJ						B0BRJLH4GJ			0	DEFAULT		Active	700.0
CRAFTIAL CURVE APX Two Welcome Lady Lotus Sitting Girl with deep Diya Oil lamp Pattern Frame Silicone Mold Decorative Home Clay Wax Resin Art and Craft Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0426ZID8CDC	56-QM5I-24OP	299	2	2022-04-26 20:03:06 IST		y	1			11				B09YVLDRCG						B09YVLDRCG			0	DEFAULT		Active	500.0
AKL Seashell Sea Shell Fondant Mold, Round Silicone Baking Mould Candy Chocolate Cake,Make Your Own Homemade Bar Soap DIY Soap Mold Jelly Ice Cake Chocolate Mould		1111YTAI2GS	59-2L6W-NZAS	174	4	2021-11-11 15:28:09 IST		y	1			11				B08SC7M44N						B08SC7M44N			0	DEFAULT		Active	300.0
AQF Valentine Angel Rose 3D Silicone Mold Soap Mold Candle,Cement,rasine, Making,		1105YJ2T8SI	5C-T3D9-4782	625	2	2021-11-05 17:54:28 IST		y	1			11				B07VWRG23L						B07VWRG23L			0	DEFAULT		Active	1000.0
AME Rose Round Flower Flexible and re-usable candel Mold Size 5.5x3x2 cm		1111YTPSDUW	5D-FR1M-JVEJ	285	5	2021-11-11 19:00:12 IST		y	1			11				B08MB18L9J						B08MB18L9J			0	DEFAULT		Active	400.0
AKX Spider-Man Mask Shape Liquid Fondant Cake Mould Chocolate Fudge Cookies Mold		1105YJ48Y7R	5I-NR8J-OKAU	186	3	2021-11-05 18:23:11 IST		y	1			11				B08MB1YJN7						B08MB1YJN7			0	DEFAULT		Active	400.0
AJE Cute Mickey Mouse Fondant Mould Chocolate Fondant Mold DIY Kitchen Cake Decorating Tools		1105YJ2Z0A1	5J-NZ5Y-XQ1R	185	4	2021-11-05 18:20:49 IST		y	1			11				B07QCC68T6						B07QCC68T6			0	DEFAULT		Active	400.0
ALI Horse Pair Pattern Silicone Mold DIY Cement Resin soap Chocolate Frame Flexible and Reusable Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0720YPT4HNL	5J-P7CF-ZII1	149	2	2021-07-20 13:33:32 IST		y	1			11				B099WN4CVM						B099WN4CVM			0	DEFAULT		Active	400.0
AFQ Rose Flower Leaves Silicone Mold for Fondant, Valentine's Cake Decoration Tools, Chocolate soap, Baking Accessories	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0820Z82C239	5K-X4JK-R8HT	499	2	2022-08-20 15:21:38 IST		y	1			11				B0BB9Y4GYH						B0BB9Y4GYH			0	DEFAULT		Active	800.0
ABZ God Buddha Statue Stress relievers Peaceful Presence. Buddha Statues Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0630ZXQ5447	5M-6QRX-VFB9	199	3	2022-06-30 17:05:09 IST		y	1			11				B0B5HBPWFL						B0B5HBPWFL			0	DEFAULT		Active	300.0
AEV lace Mold, Silicone Mold for Fondant, Baroque Style, 3D Engraving, Cake and Cup Decoration Tools, Resin Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0712ZM9HTKM	5U-YDI5-SUE1	199	2	2022-07-12 18:18:03 IST		y	1			11				B0B6CHW2GQ						B0B6CHW2GQ			0	DEFAULT		Active	300.0
ADA Handcrafted Bal Ganesha Ganesha Chaturthi Beautiful Worshipped on Many Religious Lord Ganesha for Home & Office God Statue Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1118ZFOD8GK	5W-UJ0A-CAWP	525	2	2022-11-18 14:49:39 IST		y	1			11				B0BMVGR9H8						B0BMVGR9H8			0	DEFAULT		Active	800.0
AGI 3D Resin Silicone Mould for Art & Craft, DIY, Resin Art, Handles, soap, Chocolate, Candles Making Supplies [1 Silicon Mould - Unique.	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0429ZP1KPY8	5W-ZHQK-HW4C	549	1	2022-04-29 19:12:51 IST		y	1			11				B09Z711JF3						B09Z711JF3			0	DEFAULT		Active	800.0
